(251, 179)
(254, 198)
(259, 217)
(263, 237)
(269, 257)
(281, 274)
(297, 288)
(317, 298)
(338, 300)
(357, 296)
(372, 284)
(384, 268)
(391, 249)
(394, 228)
(395, 208)
(397, 188)
(396, 169)
(266, 166)
(274, 155)
(287, 150)
(301, 150)
(315, 154)
(333, 153)
(347, 147)
(361, 145)
(376, 148)
(385, 160)
(328, 166)
(330, 181)
(332, 196)
(334, 212)
(317, 220)
(325, 222)
(333, 224)
(341, 222)
(347, 219)
(282, 171)
(289, 166)
(298, 165)
(307, 169)
(299, 172)
(290, 174)
(346, 168)
(353, 163)
(363, 163)
(370, 167)
(363, 171)
(354, 171)
(308, 248)
(317, 243)
(326, 239)
(334, 241)
(341, 239)
(349, 242)
(358, 245)
(350, 252)
(342, 256)
(334, 257)
(326, 256)
(317, 254)
(312, 248)
(326, 246)
(334, 246)
(341, 245)
(354, 245)
(341, 246)
(334, 247)
(327, 247)
